Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
1-31-60A Bottom,60,A,530597,1380732,1212,0.2,964.2,192.84,0.009124088,0.086982968,0.240875912,0.396289538,0.226581509,0.035583941,0.004257908,0.000304136,0
1-31-61 M,61,M,531878,1381004,1420,0.25,1129.67,282.42,0,0,0.017073889,0.100382691,0.388578157,0.409184575,0.062113629,0.008536944,0.014130115
1-31-62A,62,A,531201,1381246,1377,0.15,1095.47,164.32,0.269345642,0.225088244,0.232147706,0.155308173,0.078468639,0.027694814,0.009503122,0.001900624,0.000543036
1-31-62B,62,B,531201,1381246,1287,0.14,1023.87,143.34,0,0.018314032,0.103420415,0.337193644,0.437651495,0.099380555,0.002154592,0.000538648,0.00134662
1-31-63 M,63,M,530293,1381534,1471,1.6,1170.25,1872.39,0,0.051549296,0.150985915,0.354084507,0.341690141,0.094929577,0.006760564,0,0
1-31-64 M,64,M,529451,1381172,1256,1.5,999.2,1498.81,0,0.083397883,0.218435322,0.389878647,0.26052156,0.045184611,0.002581978,0,0
1-31-65 M,65,M,530518,1380992,1471,0.53,1170.25,620.23,0.061812467,0.09088528,0.282346778,0.383446831,0.151911996,0.024096386,0.004452593,0.001047669,0
2-2-66 M,66,M,521537,1376665,1873,0.06,1490.06,89.4,0,0,0.00156789,0.004076513,0.030417059,0.134211351,0.355910944,0.250548762,0.223267482
2-2-67 M,67,M,522559,1376999,1565,0.01,1245.03,12.45,0,0,0.000830105,0.010514665,0.045379081,0.22910902,0.425013835,0.161593802,0.127559491
2-2-68 M,68,M,523856,1377173,1599,0.03,1272.08,38.16,0,0,0.000282566,0.00791184,0.041537158,0.192992371,0.345012715,0.178298955,0.233964397
2-2-69 M,69,M,524591,1377489,1929,0.07,1534.61,107.42,0,0,0.000261917,0.005500262,0.031430068,0.218700891,0.371922473,0.208748035,0.163436354
2-2-70 M,70,M,525564,1377877,1794,0.23,1427.21,328.26,0,0,0.000271444,0.007871879,0.073561346,0.253528773,0.311346363,0.133279044,0.220141151
2-2-71 M,71,M,526899,1379123,1442,0.28,1147.18,321.21,0,0.001592357,0.008598726,0.093630573,0.38089172,0.43566879,0.068789809,0.005732484,0.005095541
2-2-72A,72,A,524505,1380950,1201,0.18,955.45,171.98,0,0.006906475,0.075107914,0.354244604,0.435395684,0.104748201,0.017553957,0.004604316,0.001438849
2-2-72B,72,B,524505,1380950,1682,0.08,1338.11,107.05,0,0,0.003214494,0.042372882,0.203097604,0.342781999,0.210987726,0.065458796,0.132086499
2-2-73 M,73,M,522646,1380659,1577,0.23,1254.57,288.55,0,0,0.005098789,0.077119185,0.379541109,0.350223072,0.096876991,0.028999363,0.062141491
2-2-74A,74,A,526416,1382894,1479,0.1,1176.61,117.66,0,0,0.024480501,0.155707373,0.384002277,0.234272701,0.11243951,0.056077427,0.033020211
2-2-74B,74,B,526416,1382894,1695,0.25,1348.45,337.11,0,0.001119194,0.003357583,0.037213207,0.18858422,0.397034135,0.159764969,0.07498601,0.137940683
2-2-75 M,75,M,527536,1383362,1812,0.39,1441.53,562.2,0,0.003584229,0.043309439,0.143369175,0.23864994,0.232974911,0.122461171,0.077658303,0.137992832
2-2-76 M,76,M,527796,1382127,1439,0.73,1144.79,835.7,0.011627907,0.017165006,0.07696567,0.255260244,0.417497232,0.201827242,0.01854928,0.00110742,0
2-2-77 M,77,M,527021,1381806,1417,0.48,1127.29,541.1,0,0.059397658,0.13552705,0.267986614,0.270217513,0.165644171,0.048243168,0.017010597,0.035973229
2-2-77 Fine,77,F,527021,1381806,1437,0,1143.2,0,0,0.000633112,0.024374802,0.133586578,0.36119025,0.305476417,0.071225071,0.03292181,0.070591959
2-2-78 M,78,M,528675,1382740,1550,0.34,1233.09,419.25,0,0.016124548,0.099249374,0.344731721,0.356130108,0.123436197,0.036697248,0.016680567,0.006950236
2-2-79 M,79,M,528763,1384430,1629,0.09,1295.94,116.63,0,0.005950771,0.04598323,0.201514742,0.443061943,0.190965648,0.020286719,0.015147417,0.077089532
2-2-80 M,80,M,526617,1379772,1494,0.54,1188.54,641.81,0,0,0.025836279,0.128365515,0.364427522,0.400598313,0.074245308,0.004079412,0.002447648
